OBJECTID,globe_中文名,name_cn,gb_yq_20200318xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
34,多哥,多哥,40,多哥,1,0,0,0,12.905585097384508,4.596587935937527
35,多米尼加,多米尼加,41,多米尼加,21,16,1,1,11.055731619200202,4.114215997556154
36,俄罗斯,俄罗斯,42,俄罗斯,93,0,0,0,1086.6226050090904,2913.4201356909866
37,厄瓜多尔,厄瓜多尔,43,厄瓜多尔,58,21,2,0,31.184868452122494,20.283979588690894
38,法国,法国,44,法国,7652,1079,175,27,65.84948177344266,66.25266750373707
39,法属圭亚那,法属圭亚那,47,法属圭亚那,7,0,0,0,12.489485824908574,7.400661348997434
40,梵蒂冈,梵蒂冈,48,梵蒂冈,1,0,0,0,0.7842750336300661,0.014991910040506387
41,菲律宾,菲律宾,49,菲律宾,187,45,12,0,104.06761462124311,23.03913329305567
42,芬兰,芬兰,50,芬兰,319,47,0,0,54.27434433195834,62.15277280808904
43,刚果（布）,刚果（布）,51,刚果（布）,1,0,0,0,33.95356808269201,26.898727715137518
44,刚果（金）,刚果（金）,52,刚果（金）,3,1,0,0,76.61868841342908,190.0706197243542
45,哥伦比亚,哥伦比亚,53,哥伦比亚,45,11,0,0,61.59567021749172,92.59563807972012
46,哥斯达黎加,哥斯达黎加,54,哥斯达黎加,41,6,0,0,12.5587484329418,4.506711944937891
47,格鲁吉亚,格鲁吉亚,55,格鲁吉亚,34,1,0,0,15.20674687353579,7.632983375562627
48,古巴,古巴,57,古巴,5,1,0,0,31.39364180663001,9.419455764334339
49,瓜德罗普,瓜德罗普,58,瓜德罗普,18,12,0,0,0.8915983816403168,0.04435794730802925
50,关岛,关岛,59,关岛,3,3,0,0,0.9921547949026102,0.057939969908538
51,圭亚那,圭亚那,60,圭亚那,4,0,1,0,23.471985101083078,16.922442814384237
52,哈萨克斯坦,哈萨克斯坦,61,哈萨克斯坦,33,27,0,0,134.03289397384557,323.84800501333945
53,韩国,韩国,62,韩国,8320,84,81,6,17.98289336983087,9.888493694113702
54,阿鲁巴,阿鲁巴,6,阿鲁巴,2,2,0,0,0.5011279974658756,0.005806866656265818
55,库拉索,库拉索,79,库拉索,3,1,0,0,1.0267602865036105,0.018749631827507413
56,黑山,黑山,64,黑山,2,2,0,0,5.5204601865777025,1.3685671163827444
57,洪都拉斯,洪都拉斯,65,洪都拉斯,8,6,0,0,15.959010772843044,9.467039963324687
58,几内亚,几内亚,69,几内亚,1,0,0,0,26.23962135605981,21.418330695591816
59,加拿大,加拿大,66,加拿大,424,120,1,0,1539.468150466872,1671.6081244929162
60,加纳,加纳,67,加纳,6,4,0,0,20.85129287889863,20.099997197909595
61,加蓬,加蓬,68,加蓬,1,0,0,0,27.0405892544518,20.540080925034847
62,柬埔寨,柬埔寨,70,柬埔寨,24,12,0,0,18.63402528346828,15.451451733370222
63,捷克,捷克,71,捷克,434,136,0,0,15.818643910981182,9.585600844794435
64,喀麦隆,喀麦隆,73,喀麦隆,5,0,0,0,38.62394925249105,38.73945937697286
65,卡塔尔,卡塔尔,72,卡塔尔,442,41,0,0,4.7873525990949535,1.1415420848891193
